tanggal,tahun,bulan,bulan_nama,program_studi,jumlah_pendaftar,frekuensi,kategori_data,catatan
2021-07-01,2021,7,Juli,Manajemen,144,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-08-01,2021,8,Agustus,Manajemen,126,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-09-01,2021,9,September,Manajemen,48,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-10-01,2021,10,Oktober,Manajemen,13,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-11-01,2021,11,November,Manajemen,6,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-12-01,2021,12,Desember,Manajemen,6,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-01-01,2021,1,Januari,Akuntansi,12,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-02-01,2021,2,Februari,Akuntansi,16,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-03-01,2021,3,Maret,Akuntansi,20,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-04-01,2021,4,April,Akuntansi,23,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-05-01,2021,5,Mei,Akuntansi,38,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-06-01,2021,6,Juni,Akuntansi,63,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-07-01,2021,7,Juli,Akuntansi,91,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-08-01,2021,8,Agustus,Akuntansi,80,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-09-01,2021,9,September,Akuntansi,31,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-10-01,2021,10,Oktober,Akuntansi,8,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-11-01,2021,11,November,Akuntansi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-12-01,2021,12,Desember,Akuntansi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-01-01,2021,1,Januari,Teknik Industri,11,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-02-01,2021,2,Februari,Teknik Industri,14,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-03-01,2021,3,Maret,Teknik Industri,19,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-04-01,2021,4,April,Teknik Industri,21,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-05-01,2021,5,Mei,Teknik Industri,38,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-06-01,2021,6,Juni,Teknik Industri,58,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-07-01,2021,7,Juli,Teknik Industri,83,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-08-01,2021,8,Agustus,Teknik Industri,73,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-09-01,2021,9,September,Teknik Industri,28,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-10-01,2021,10,Oktober,Teknik Industri,7,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-11-01,2021,11,November,Teknik Industri,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2021-12-01,2021,12,Desember,Teknik Industri,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-01-01,2022,1,Januari,Teknik Informatika,17,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-02-01,2022,2,Februari,Teknik Informatika,22,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-03-01,2022,3,Maret,Teknik Informatika,30,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-04-01,2022,4,April,Teknik Informatika,34,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-05-01,2022,5,Mei,Teknik Informatika,56,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-06-01,2022,6,Juni,Teknik Informatika,95,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-07-01,2022,7,Juli,Teknik Informatika,138,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-08-01,2022,8,Agustus,Teknik Informatika,111,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-09-01,2022,9,September,Teknik Informatika,47,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-10-01,2022,10,Oktober,Teknik Informatika,11,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-11-01,2022,11,November,Teknik Informatika,6,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-12-01,2022,12,Desember,Teknik Informatika,6,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-01-01,2022,1,Januari,Sistem Informasi,14,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-02-01,2022,2,Februari,Sistem Informasi,18,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-03-01,2022,3,Maret,Sistem Informasi,24,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-04-01,2022,4,April,Sistem Informasi,28,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-05-01,2022,5,Mei,Sistem Informasi,45,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-06-01,2022,6,Juni,Sistem Informasi,77,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-07-01,2022,7,Juli,Sistem Informasi,112,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-08-01,2022,8,Agustus,Sistem Informasi,91,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-09-01,2022,9,September,Sistem Informasi,39,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-10-01,2022,10,Oktober,Sistem Informasi,9,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-11-01,2022,11,November,Sistem Informasi,5,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-12-01,2022,12,Desember,Sistem Informasi,5,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-01-01,2022,1,Januari,Manajemen,20,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-02-01,2022,2,Februari,Manajemen,25,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-03-01,2022,3,Maret,Manajemen,34,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-04-01,2022,4,April,Manajemen,39,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-05-01,2022,5,Mei,Manajemen,63,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-06-01,2022,6,Juni,Manajemen,108,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-07-01,2022,7,Juli,Manajemen,157,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-08-01,2022,8,Agustus,Manajemen,127,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-09-01,2022,9,September,Manajemen,54,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-10-01,2022,10,Oktober,Manajemen,13,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-11-01,2022,11,November,Manajemen,6,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-12-01,2022,12,Desember,Manajemen,7,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-01-01,2022,1,Januari,Akuntansi,12,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-02-01,2022,2,Februari,Akuntansi,17,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-03-01,2022,3,Maret,Akuntansi,21,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-04-01,2022,4,April,Akuntansi,24,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-05-01,2022,5,Mei,Akuntansi,42,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-06-01,2022,6,Juni,Akuntansi,66,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-07-01,2022,7,Juli,Akuntansi,96,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-08-01,2022,8,Agustus,Akuntansi,85,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-09-01,2022,9,September,Akuntansi,33,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-10-01,2022,10,Oktober,Akuntansi,8,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-11-01,2022,11,November,Akuntansi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-12-01,2022,12,Desember,Akuntansi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-01-01,2022,1,Januari,Teknik Industri,11,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-02-01,2022,2,Februari,Teknik Industri,16,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-03-01,2022,3,Maret,Teknik Industri,19,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-04-01,2022,4,April,Teknik Industri,23,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-05-01,2022,5,Mei,Teknik Industri,40,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-06-01,2022,6,Juni,Teknik Industri,62,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-07-01,2022,7,Juli,Teknik Industri,91,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-08-01,2022,8,Agustus,Teknik Industri,80,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-09-01,2022,9,September,Teknik Industri,31,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-10-01,2022,10,Oktober,Teknik Industri,8,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-11-01,2022,11,November,Teknik Industri,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2022-12-01,2022,12,Desember,Teknik Industri,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-01-01,2023,1,Januari,Teknik Informatika,17,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-02-01,2023,2,Februari,Teknik Informatika,24,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-03-01,2023,3,Maret,Teknik Informatika,30,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-04-01,2023,4,April,Teknik Informatika,35,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-05-01,2023,5,Mei,Teknik Informatika,57,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-06-01,2023,6,Juni,Teknik Informatika,98,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-07-01,2023,7,Juli,Teknik Informatika,143,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-08-01,2023,8,Agustus,Teknik Informatika,117,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-09-01,2023,9,September,Teknik Informatika,46,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-10-01,2023,10,Oktober,Teknik Informatika,11,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-11-01,2023,11,November,Teknik Informatika,6,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-12-01,2023,12,Desember,Teknik Informatika,6,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-01-01,2023,1,Januari,Sistem Informasi,15,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-02-01,2023,2,Februari,Sistem Informasi,20,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-03-01,2023,3,Maret,Sistem Informasi,24,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-04-01,2023,4,April,Sistem Informasi,28,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-05-01,2023,5,Mei,Sistem Informasi,46,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-06-01,2023,6,Juni,Sistem Informasi,79,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-07-01,2023,7,Juli,Sistem Informasi,115,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-08-01,2023,8,Agustus,Sistem Informasi,95,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-09-01,2023,9,September,Sistem Informasi,37,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-10-01,2023,10,Oktober,Sistem Informasi,10,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-11-01,2023,11,November,Sistem Informasi,5,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-12-01,2023,12,Desember,Sistem Informasi,5,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-01-01,2023,1,Januari,Manajemen,21,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-02-01,2023,2,Februari,Manajemen,27,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-03-01,2023,3,Maret,Manajemen,33,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-04-01,2023,4,April,Manajemen,39,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-05-01,2023,5,Mei,Manajemen,69,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-06-01,2023,6,Juni,Manajemen,109,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-07-01,2023,7,Juli,Manajemen,158,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-08-01,2023,8,Agustus,Manajemen,131,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-09-01,2023,9,September,Manajemen,51,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-10-01,2023,10,Oktober,Manajemen,14,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-11-01,2023,11,November,Manajemen,7,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-12-01,2023,12,Desember,Manajemen,7,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-01-01,2023,1,Januari,Akuntansi,13,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-02-01,2023,2,Februari,Akuntansi,17,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-03-01,2023,3,Maret,Akuntansi,21,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-04-01,2023,4,April,Akuntansi,24,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-05-01,2023,5,Mei,Akuntansi,43,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-06-01,2023,6,Juni,Akuntansi,68,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-07-01,2023,7,Juli,Akuntansi,99,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-08-01,2023,8,Agustus,Akuntansi,81,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-09-01,2023,9,September,Akuntansi,35,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-10-01,2023,10,Oktober,Akuntansi,9,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-11-01,2023,11,November,Akuntansi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-12-01,2023,12,Desember,Akuntansi,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-01-01,2023,1,Januari,Teknik Industri,12,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-02-01,2023,2,Februari,Teknik Industri,16,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-03-01,2023,3,Maret,Teknik Industri,19,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-04-01,2023,4,April,Teknik Industri,25,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-05-01,2023,5,Mei,Teknik Industri,41,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-06-01,2023,6,Juni,Teknik Industri,64,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-07-01,2023,7,Juli,Teknik Industri,94,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-08-01,2023,8,Agustus,Teknik Industri,77,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-09-01,2023,9,September,Teknik Industri,33,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-10-01,2023,10,Oktober,Teknik Industri,8,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-11-01,2023,11,November,Teknik Industri,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2023-12-01,2023,12,Desember,Teknik Industri,4,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2024-01-01,2024,1,Januari,Teknik Informatika,19,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2024-02-01,2024,2,Februari,Teknik Informatika,25,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2024-03-01,2024,3,Maret,Teknik Informatika,31,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2024-04-01,2024,4,April,Teknik Informatika,36,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2024-05-01,2024,5,Mei,Teknik Informatika,60,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
2024-06-01,2024,6,Juni,Teknik Informatika,104,Bulanan,Optimal minimal,Data simulasi terstruktur untuk uji model SARIMA dengan pola tren dan musiman
